County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
San Miguel,3604,1617,557,1020,26,0,329,49,0,6,8,113,2020,8110,8113,Telluride,"7,359","3,332.31","1,286.61",5.214,2.013,"3,337.52","1,288.62",38.009374,-108.427326,58.619230769230800,37.06089743589740,47.36987179487180,45.09679487179490,4.914551282051280,29.47820512820510,291.1051282051280,17.96474358974360,7.506410256410260
Teller,10076,5403,1607,1222,18,0,1589,71,90,76,8,119,2017,23769,8119,Cripple Creek,"23,350","1,442.77",557.055,4.945,1.909,"1,447.71",558.964,38.871994,-105.182552,63.295512820512800,38.132051282051300,50.39038461538460,45.08717948717950,6.650769230769230,37.49487179487180,268.96987179487200,16.28205128205130,7.141025641025640
Teller,10183,5408,1748,1274,17,0,1532,66,90,48,8,119,2018,24113,8119,Cripple Creek,"23,350","1,442.77",557.055,4.945,1.909,"1,447.71",558.964,38.871994,-105.182552,63.295512820512800,38.132051282051300,50.39038461538460,45.08717948717950,6.650769230769230,37.49487179487180,268.96987179487200,16.28205128205130,7.141025641025640
Teller,10248,5424,1980,1273,4,0,1404,26,78,59,8,119,2019,24524,8119,Cripple Creek,"23,350","1,442.77",557.055,4.945,1.909,"1,447.71",558.964,38.871994,-105.182552,63.295512820512800,38.132051282051300,50.39038461538460,45.08717948717950,6.650769230769230,37.49487179487180,268.96987179487200,16.28205128205130,7.141025641025640
Teller,10460,5735,2115,1364,0,0,1129,14,70,33,8,119,2020,24981,8119,Cripple Creek,"23,350","1,442.77",557.055,4.945,1.909,"1,447.71",558.964,38.871994,-105.182552,63.295512820512800,38.132051282051300,50.39038461538460,45.08717948717950,6.650769230769230,37.49487179487180,268.96987179487200,16.28205128205130,7.141025641025640
Boulder,125026,90069,3573,28059,136,49,1563,635,510,432,8,13,2017,316782,8013,Boulder,"294,567","1,881.08",726.289,36.469,14.081,"1,917.55",740.37,40.094826,-105.398382,59.751282051282100,35.92371794871800,47.41602564102560,55.460256410256400,9.081410256410260,19.483974358974400,197.99358974359000,14.869230769230800,6.378205128205130
Boulder,125894,90956,3690,28198,115,28,1301,616,548,442,8,13,2018,321030,8013,Boulder,"294,567","1,881.08",726.289,36.469,14.081,"1,917.55",740.37,40.094826,-105.398382,59.751282051282100,35.92371794871800,47.41602564102560,55.460256410256400,9.081410256410260,19.483974358974400,197.99358974359000,14.869230769230800,6.378205128205130
Boulder,127415,91532,3698,29079,109,0,1225,635,642,495,8,13,2019,322510,8013,Boulder,"294,567","1,881.08",726.289,36.469,14.081,"1,917.55",740.37,40.094826,-105.398382,59.751282051282100,35.92371794871800,47.41602564102560,55.460256410256400,9.081410256410260,19.483974358974400,197.99358974359000,14.869230769230800,6.378205128205130
Boulder,127365,91177,3780,29244,89,0,1054,695,630,696,8,13,2020,324682,8013,Boulder,"294,567","1,881.08",726.289,36.469,14.081,"1,917.55",740.37,40.094826,-105.398382,59.751282051282100,35.92371794871800,47.41602564102560,55.460256410256400,9.081410256410260,19.483974358974400,197.99358974359000,14.869230769230800,6.378205128205130
Elbert,8866,3222,3768,1087,21,0,531,17,199,21,8,39,2017,24553,8039,Colorado Springs,"23,086","4,793.67","1,850.85",0.442,0.171,"4,794.11","1,851.02",39.310817,-104.117928,62.84487179487180,34.50512820512820,48.110897435897400,49.526923076923100,5.5554487179487200,23.60320512820510,289.399358974359,17.157692307692300,7.076923076923080
Elbert,9046,3488,3743,1026,3,0,542,13,209,22,8,39,2018,25162,8039,Colorado Springs,"23,086","4,793.67","1,850.85",0.442,0.171,"4,794.11","1,851.02",39.310817,-104.117928,62.84487179487180,34.50512820512820,48.110897435897400,49.526923076923100,5.5554487179487200,23.60320512820510,289.399358974359,17.157692307692300,7.076923076923080
Elbert,9280,3484,4055,1000,5,0,461,12,213,50,8,39,2019,25717,8039,Colorado Springs,"23,086","4,793.67","1,850.85",0.442,0.171,"4,794.11","1,851.02",39.310817,-104.117928,62.84487179487180,34.50512820512820,48.110897435897400,49.526923076923100,5.5554487179487200,23.60320512820510,289.399358974359,17.157692307692300,7.076923076923080
